Cu load reduction factor
Conv
0.914069264
0.894736842
0.887265621
0.789139633
0.757575758
0.742647066
0.732894198
0.728657932
0.701997995
0.700374535
0.666666667
0.647058824
0.58774771
0.581877729
0.579591829
0.570663693
0.500000159
0.5
0.474626903
0.474605822
0.468147711
0.424731194
0.4
0.379576109
0.377506941
0.375
0.346666654
0.339646479
0.338648248
0.327585718
0.290444682
0.287058829
0.25
0.249999974
0.208333333
0.2
0.139381629
0.13127346
0.102950337
0.076737106
0.044884512
