Zn load reduction factor
Conv
0.938296445
0.931034483
0.908823529
0.906593407
0.871970312
0.86960594
0.863697698
0.861664678
0.841176471
0.807886418
0.787596672
0.786666672
0.776353269
0.768989071
0.759891546
0.736973154
0.71738696
0.71035747
0.655555556
0.650613814
0.638339858
0.634375
0.633928571
0.62962963
0.603448276
0.5998825
0.579681274
0.562295937
0.539320425
0.497977435
0.488232035
0.488230713
0.477272727
0.463865546
0.46
0.459821429
0.439430424
0.428303246
0.421921924
0.395309478
0.376842097
0.34428757
0.317073171
0.3
0.294144475
0.289234593
0.279538269
0.230769231
0.195702221
0.193815002
