Zn load reduction factor
GI
0.96124031
0.911889274
0.909412698
0.852112676
0.850439688
0.830769231
0.802469136
0.785840537
0.783928571
0.76744186
0.714184399
0.68
0.643529412
0.578900709
0.554324008
0.389404383
